codBairro,bairro,codLocalidade,municipio,codMunicipioIBGE
11931,JARDIM OURO VERDE,979,Araras,3503307
11932,JARDIM OURO VERDE II,979,Araras,3503307
11935,JARDIM P CAMPO,2538,Campo Mourão,4104303
11938,Pacaembu,2403,Londrina,4113700
11939,JARDIM PACAEMBU,861,Campinas,3509502
11940,JARDIM PACAEMBU,696,Jundiaí,3525904
11941,JARDIM PACAEMBU,556,Piracicaba,3538709
11942,JARDIM PACAEMBU,458,São Carlos,3548906
11943,JARDIM PACAEMBU,431,Sorocaba,3552205
11944,JARDIM PACAEMBU,342,Valinhos,3556206
11946,JARDIM PADRE ANCHIETA,978,Araraquara,3503208
11947,JARDIM PADRE AUGUSTO SANI,689,Jaú,3525300
11948,JARDIM PADRE BENTO,749,Itu,3523909
11949,JARDIM PADRE JOSÉ DE ANCHIETA,2536,Campo Largo,4104204
11950,JARDIM PADRE RODOLFO,550,Pindamonhangaba,3538006
11951,Vila Padre Rodolfo Lunkenbein,3379,Rondonópolis,5107602
11952,JARDIM PAGLIATO,431,Sorocaba,3552205
11953,JARDIM PAINEIRA,741,Itaquaquecetuba,3523107
11954,JARDIM PAINEIRA,834,Cotia,3513009
11955,JARDIM PAINEIRAS,2211,Umuarama,4128104
11956,JARDIM PAINEIRAS,930,Avaré,3504503
11957,JARDIM PAINEIRAS,811,Franca,3516200
11958,JARDIM PAINEIRAS,749,Itu,3523909
11959,JARDIM PAINEIRAS I,2580,Apucarana,4101408
11960,JARDIM PAIOL,862,Campo Limpo Paulista,3509601
11961,JARDIM PAIQUERÊ,342,Valinhos,3556206
11962,JARDIM PAIVA,531,Ribeirão Preto,3543402
11963,JARDIM PAIVA,4732,Novo Gama,5215231
11964,JARDIM PAJUSSARA,663,Mauá,3529401
11965,JARDIM PALACIUS,4877,Aparecida de Goiânia,5201405
11966,JARDIM PALERMO,2403,Londrina,4113700
11968,JARDIM PALESTINA,811,Franca,3516200
11969,JARDIM PALLADINO,744,Itatiba,3523404
11970,JARDIM PALMA,811,Franca,3516200
11972,JARDIM PALMA TRAVASSOS,531,Ribeirão Preto,3543402
11973,JARDIM PALMARES,4874,Anápolis,5201108
11974,JARDIM PALMARES,4877,Aparecida de Goiânia,5201405
11976,JARDIM PALMARES,2403,Londrina,4113700
11977,JARDIM PALMARES,2126,Nova Iguaçu,3303500
11978,JARDIM PALMARES,978,Araraquara,3503208
11980,JARDIM PALMARES (ZONA NORTE),412,São Paulo,3550308
11981,JARDIM PALMARES (ZONA SUL),412,São Paulo,3550308
11983,JARDIM PALMAS,2403,Londrina,4113700
11984,JARDIM PALMEIRAS,3933,Montes Claros,3143302
11985,JARDIM PALMEIRAS,2403,Londrina,4113700
11986,JARDIM PALMEIRAS,686,Jandira,3525003
11987,JARDIM PALMEIRAS,704,Leme,3526704
11988,JARDIM PALMEIRAS,485,Santa Bárbara D´Oeste,3545803
11991,JARDIM PALMEIRAS,731,Itapecerica da Serra,3522208
11992,JARDIM PALMEIRAS,706,Limeira,3526902
11994,JARDIM PALMIRA,768,Guarulhos,3518800
11995,JARDIM PALMIRA,385,Tatuí,3554003
11996,JARDIM PALMIRA,353,Votorantim,3557006
11998,JARDIM PALOS VERDES,902,Botucatu,3507506
12000,Setor Pampulha,4877,Aparecida de Goiânia,5201405
12001,JARDIM PAMPULHA,4818,Goiânia,5208707
12002,Jardim Panamá,3527,Campo Grande,5002704
12003,Jardim Panamá,2164,Duque de Caxias,3301702
12005,JARDIM PANAMBI,485,Santa Bárbara D´Oeste,3545803
12006,JARDIM PANDOVANI,2403,Londrina,4113700
12007,JARDIM PANORAMA,4372,Araguari,3103504
12008,JARDIM PANORAMA,4041,Ipatinga,3131307
12009,JARDIM PANORAMA,3933,Montes Claros,3143302
12011,JARDIM PANORAMA,3572,Uberlândia,3170206
12012,JARDIM PANORAMA,3582,Varginha,3170701
12013,JARDIM PANORAMA,2581,Arapongas,4101507
12015,JARDIM PANORAMA,2478,Foz do Iguaçu,4108304
12016,JARDIM PANORAMA,2322,Paranavaí,4118402
